game_id,season,week,season_type,home_team,away_team,home_score,away_score,actual_home_margin,actual_total,market_home_spread,market_total,completed,home_feature_team,home_prior_weeks,home_prev_season_off_epa,home_prev_season_off_success_rate,home_prev_season_off_explosive_rate,home_prev_season_off_pass_epa,home_prev_season_off_rush_epa,home_prev_season_havoc_allowed_rate,home_prev_season_line_yards_per_rush,home_prev_season_scoring_opp_rate,home_prev_season_avg_start_yards_to_endzone,home_prev_season_drives,home_prev_season_plays_per_drive,home_prev_season_def_epa_allowed,home_prev_season_def_success_allowed,home_prev_season_def_explosive_allowed,home_prev_season_def_pass_epa_allowed,home_prev_season_def_rush_epa_allowed,home_prev_season_def_havoc_created_rate,home_prev_season_def_line_yards_allowed,home_prev_season_def_scoring_opp_allowed,home_pregame_off_epa,home_pregame_off_success_rate,home_pregame_off_explosive_rate,home_pregame_off_pass_epa,home_pregame_off_rush_epa,home_pregame_havoc_allowed_rate,home_pregame_line_yards_per_rush,home_pregame_scoring_opp_rate,home_pregame_avg_start_yards_to_endzone,home_pregame_drives,home_pregame_plays_per_drive,home_pregame_def_epa_allowed,home_pregame_def_success_allowed,home_pregame_def_explosive_allowed,home_pregame_def_pass_epa_allowed,home_pregame_def_rush_epa_allowed,home_pregame_def_havoc_created_rate,home_pregame_def_line_yards_allowed,home_pregame_def_scoring_opp_allowed,away_feature_team,away_prior_weeks,away_prev_season_off_epa,away_prev_season_off_success_rate,away_prev_season_off_explosive_rate,away_prev_season_off_pass_epa,away_prev_season_off_rush_epa,away_prev_season_havoc_allowed_rate,away_prev_season_line_yards_per_rush,away_prev_season_scoring_opp_rate,away_prev_season_avg_start_yards_to_endzone,away_prev_season_drives,away_prev_season_plays_per_drive,away_prev_season_def_epa_allowed,away_prev_season_def_success_allowed,away_prev_season_def_explosive_allowed,away_prev_season_def_pass_epa_allowed,away_prev_season_def_rush_epa_allowed,away_prev_season_def_havoc_created_rate,away_prev_season_def_line_yards_allowed,away_prev_season_def_scoring_opp_allowed,away_pregame_off_epa,away_pregame_off_success_rate,away_pregame_off_explosive_rate,away_pregame_off_pass_epa,away_pregame_off_rush_epa,away_pregame_havoc_allowed_rate,away_pregame_line_yards_per_rush,away_pregame_scoring_opp_rate,away_pregame_avg_start_yards_to_endzone,away_pregame_drives,away_pregame_plays_per_drive,away_pregame_def_epa_allowed,away_pregame_def_success_allowed,away_pregame_def_explosive_allowed,away_pregame_def_pass_epa_allowed,away_pregame_def_rush_epa_allowed,away_pregame_def_havoc_created_rate,away_pregame_def_line_yards_allowed,away_pregame_def_scoring_opp_allowed,sealed_test_season,market_favorite,market_favorite_size
401628515,2024,7,2,Oregon,Ohio State,32.0,31.0,1.0,63.0,3.5,54.5,True,Oregon,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ohio State,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ohio State,3.5
401628516,2024,7,2,USC,Penn State,30.0,33.0,-3.0,63.0,3.5,52.0,True,USC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penn State,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Penn State,3.5
401628517,2024,7,2,Rutgers,Wisconsin,7.0,42.0,-35.0,49.0,-1.25,43.5,True,Rutgers,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wisconsin,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rutgers,1.25
401628650,2024,7,2,Delaware,Maine,44.0,21.0,23.0,65.0,-19.5,55.5,True,Delaware,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maine,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Delaware,19.5
401628981,2024,7,2,Notre Dame,Stanford,49.0,7.0,42.0,56.0,-22.5,45.5,True,Notre Dame,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanford,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Notre Dame,22.5
401634057,2024,7,2,Sacramento State,Eastern Washington,28.0,35.0,-7.0,63.0,-11.5,65.5,True,Sacramento State,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Washington,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Sacramento State,11.5
401634163,2024,7,2,Illinois State,Missouri State,7.0,41.0,-34.0,48.0,-2.5,53.5,True,Illinois State,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missouri State,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Illinois State,2.5
401634208,2024,7,2,Southern Illinois,North Dakota State,3.0,24.0,-21.0,27.0,22.5,55.5,True,Southern Illinois,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Dakota State,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,North Dakota State,22.5
401635574,2024,7,2,NC State,Syracuse,17.0,24.0,-7.0,41.0,1.0,51.5,True,NC State,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syracuse,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Syracuse,1.0
401635575,2024,7,2,Pittsburgh,California,17.0,15.0,2.0,32.0,-3.5,57.5,True,Pittsburgh,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pittsburgh,3.5
401635576,2024,7,2,Wake Forest,Clemson,14.0,49.0,-35.0,63.0,21.0,63.0,True,Wake Forest,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clemson,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Clemson,21.0
401635577,2024,7,2,North Carolina,Georgia Tech,34.0,41.0,-7.0,75.0,3.5,60.5,True,North Carolina,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Georgia Tech,3.5
401635578,2024,7,2,Virginia,Louisville,20.0,24.0,-4.0,44.0,7.0,54.0,True,Virginia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louisville,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Louisville,7.0
401636892,2024,7,2,Arizona State,Utah,27.0,19.0,8.0,46.0,5.5,46.5,True,Arizona State,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Utah,5.5
401636893,2024,7,2,BYU,Arizona,41.0,19.0,22.0,60.0,-2.5,48.5,True,BYU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,BYU,2.5
401636894,2024,7,2,Colorado,Kansas State,28.0,31.0,-3.0,59.0,3.5,55.0,True,Colorado,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kansas State,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Kansas State,3.5
401636895,2024,7,2,UCF,Cincinnati,13.0,19.0,-6.0,32.0,-2.5,58.0,True,UCF,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,UCF,2.5
401636896,2024,7,2,West Virginia,Iowa State,16.0,28.0,-12.0,44.0,3.0,54.0,True,West Virginia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Iowa State,3.0
401640982,2024,7,2,Liberty,Florida International,32.0,24.0,8.0,56.0,-15.5,55.5,True,Liberty,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florida International,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Liberty,15.5
401641002,2024,7,2,Jacksonville State,New Mexico State,54.0,13.0,41.0,67.0,-21.0,58.5,True,Jacksonville State,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Mexico State,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Jacksonville State,21.0
